studioLabel,animeLabel
Studio Hibari,Clean Freak! Aoyama kun
Brain's Base,Kure-nai
Brain's Base,In/Spectre
SynergySP,Hayate the Combat Butler
Brain's Base,Blood Lad
SynergySP,Mermaid Melody Pichi Pichi Pitch
Doga Kobo,Koihime Musō
SynergySP,Beast Saga
Doga Kobo,Gekkan Shōjo Nozaki-kun
Studio Hibari,Happy Lesson
Doga Kobo,YuruYuri♪♪
Doga Kobo,How Heavy Are the Dumbbells You Lift?
Knack Productions,Astroganger
Brain's Base,D-Frag!
Brain's Base,Akikan!
Knack Productions,Robby the Rascal
Brain's Base,Kamichu!
Doga Kobo,Hoshizora e Kakaru Hashi
Doga Kobo,Aria the Scarlet Ammo AA
Doga Kobo,RPG Fudōsan
Doga Kobo,Myself ; Yourself
David Production,Inu x Boku SS
Radix,Love Get Chu : Miracle Seiyū Hakusho
Nomad,Sola
Doga Kobo,Sewayaki Kitsune no Senko-san
Knack Productions,Family!
SynergySP,Zettai Karen Children
Brain's Base,To Your Eternity
Doga Kobo,Mangirl!
Doga Kobo,YuruYuri
Doga Kobo,Laughing Under the Clouds
SynergySP,Taisho Otome Fairy Tale
